# Puntuación a mano de Claude (0-100) como marca para un producto online de
# mates para niños en España, con el que salir al mercado y gastar en
# publicidad y boca a boca. Criterios: que se diga y se escriba bien al
# oírlo, corto, con emoción positiva, distintivo (registrable: no solo
# descriptivo), que el mensaje sea MATES (no hace falta que sirva para
# otras asignaturas: la asignatura es mates), y sin marcas parecidas
# conocidas. Formato: nombre|score|motivo. Manda sobre la rúbrica.
#
# ---- Los que yo elegiría para salir al mercado ----
Remata10|58|Futbolero y con energía; poco educativo.
Directoal10|58|Frase larga pegada; se lee regular.
Dobla10|58|Doble sentido (dobla tu nota), corto; algo raro como marca.
Ayuda10|58|Amable pero pasivo (pide ayuda).
Surfea10|58|Divertido, pero anglicismo y nada de mates.
Maximiza10|58|Empresarial, largo.
Compasmates|58|El compás es un icono bonito; once letras y solo geometría.
Fractalmates|58|Moderno; largo y técnico.
Preparate10|58|Bueno como eslogan; largo y la tilde de «prepárate» se pierde.
Matesboost|58|Energía; anglicismo puro.
Exponente10|58|Doble sentido bonito (ser un exponente), pero largo.
Insiste10|55|Mensaje de esfuerzo, poco alegre.
Goza10|55|Alegre, pero suena a otra cosa para adultos.
Pasa10|55|Ambiguo (pasar de algo).
Duplica10|55|Similar a Dobla10, más técnico.
Saca7|55|Todo lo bueno de Saca10 pero el 7 no es la nota soñada.
Circular10|55|Adjetivo, ambiguo (una circular del cole).
Curva10|55|Corto; «curva» tiene otros sentidos.
Lapizmates|55|Concreto, pero orden raro (mejor mates + lápiz).
Operaciones10|55|Descriptivo y largo; es lo que hace un cuaderno Rubio.
Lideramos10|55|Plural formal; largo.
Optimiza10|55|Empresarial.
Notasdiez|55|«Diez» en letras y plural; menos marca.
Matescohete|55|Visual (icono), pero once letras.
Matesking|55|Rey de las mates: pegadizo para niños, anglicismo.
Matesidea|55|Suave, poco distintivo.
Matespower|55|Anglicismo y muy usado («power»).
Sumatop|55|Corto, pero mezcla suma con top (inglés).
Matesvip|54|Corto; VIP suena a exclusivo, no a aprender.
Realiza10|52|Verbo flojo.
Aproxima10|52|Técnico y sin emoción.
Repite10|52|Repetir suena a castigo.
Curvamates|52|Geometría, poco pegadizo.
Factorialmates|52|Largo y técnico.
Sumamil|52|Suma + mil: vale para el producto pero el «mil» pierde la idea de nota 10.
Matescole|52|Descriptivo total (mates del cole).
Matespatio|52|Cálido pero raro: el patio no es donde se hacen mates.
Matesnext|52|Anglicismo y significa poco.
Mates11|52|Once: sin significado; parece error de «10».
Volumen10|50|Técnico y con otros sentidos (volumen del móvil).
Grafo10|50|Nadie sabe qué es un grafo.
Arcomates|50|Arco es tema menor; flojo.
Logica10x|50|La «x» y la tilde perdida lo estropean; Logica10 sería mejor.
Divide10|50|«Divide» suena a separar; poco positivo.
Iguala10|50|Verbo flojo.
Termina10|50|Terminar no es lo que se quiere vender.
Suma1000|50|El 1000 rompe la marca «10».
Notamates|50|Suena a «no ta mates»; se lee mal.
Matesinsti|50|Descriptivo y solo para instituto.
Matesplayer|50|Anglicismo y «player» suena a videojuego.
Matesronda|50|Ronda de juego, pero poco claro.
Matessonrisa|50|Cálido pero larguísimo.
Mates5|50|El 5 es aprobado raspado: mala promesa.
Mates33|50|Sin significado.
Conomates|48|Cono: poco atractivo.
Diametro10|48|Técnico y largo.
Pitagorasmates|48|Muy largo y muy usado por academias.
Matescero|48|Cero es mala promesa de nota.
Matesfull|48|Anglicismo y «full» se escribe mal al oído.
Mates64|46|Sin significado (suena a consola).
Fibonacci10x|45|Largo, con «x» y difícil de escribir al oírlo.
Milymil|45|Bonito de oír, pero no dice nada de mates ni de 10.
Resta100|45|«Resta» es quitar: mensaje negativo; el 100 rompe la familia.
Mates13|44|El 13 da mala suerte en España.
Mates95|44|Sin significado.
Matestown|44|Anglicismo y «town» se escribe mal al oído.
Matesabsoluto|40|Trece letras; «absoluto» no aporta.
Potencia10x|40|La «x» final se lee «por diez» y complica escribirlo; Potencia10 (sin x) sería mucho mejor.
Matesjedi|25|Jedi es marca registrada de Lucasfilm: riesgo legal claro si haces publicidad.
Matescien|52|Mates + cien: dice mates, pero pierde la idea de nota 10 y suena a «mates de ciencia».
Mates12|56|Mates + número: dice mates y es fácil, pero el 12 no significa nada; parece para 12 años.
Logramates|58|Logro + mates, positivo, pero diez letras y suena a «lo gramates».
Orden10|64|Corto y limpio; «orden» sugiere método y disciplina, pero es palabra muy común (poco distintiva) y no dice mates ni juego.
Medida10|58|«Medida» es de mates (medir) y suena serio; algo plano y con doble sentido (medida = decisión).
Signo10|60|Corto; el signo (+, −, ×) es un icono fácil, pero «signo» también es zodiaco y suena poco a niños.
Igual10|66|El signo «=» como marca: corto, matemático y con lectura simpática («igual a 10»). Riesgo: «igual» es palabra vacía en el habla y puede sonar a indiferencia.
Impar10|62|Original y sonoro, con guiño matemático; «impar» no transmite nada positivo por sí solo y puede leerse como «no es par = no encaja».
Gradomates|56|«Grado» es de ángulos y de nivel: doble sentido útil, pero mates+vocabulario solo sirve para mates y suena a curso universitario.
Prismamates|54|Prisma es visual (icono fácil), pero once letras y tema de geometría 3D, poco cotidiano.
Razonmates|58|Razonar es el fondo de las mates; «razón» también es proporción. Suena bien, pero descriptivo.
Ratiomates|52|Ratio es palabra de empresa, no de niños.
Ratio10|58|Corto y sonoro; ratio suena a finanzas más que a cole.
Ciframates|55|Cifra + mates es casi «números + mates»: redundante.
Derivadamates|40|Trece letras y las derivadas son de bachillerato: asusta a un niño de 8 años.
Derivada10|48|Igual: técnico, de bachillerato, frío.
Integral10|56|Suena a «formación integral» además de cálculo: doble sentido a favor; sigue siendo técnico.
Incognitamates|38|Catorce letras, y la tilde de «incógnita» se pierde.
Hipotesismates|36|Larguísimo y de ciencia, no de mates de primaria.
Hipotesis10|48|Suena a laboratorio; tilde perdida.
Seriemates|52|«Serie» hoy es Netflix: confuso.
Sucesion10|46|Sucesión suena a herencia; tilde perdida.
Espaciomates|50|Espacio evoca astronáutica: simpático, pero doce letras.
Segmento10|48|Segmento suena a marketing.
Paralelamates|42|Muy largo; «paralela» no dice logro.
Paralela10|50|Corto de decir, pero sin emoción.
Algoritmo10|58|Moderno (algoritmos, programación) y reconocible por padres; cuatro sílabas y algo frío.
Combinacion10|44|Cinco sílabas y tilde perdida.
Nodomates|50|Nodo es de redes; nadie lo asocia a niños.
Ciclomates|52|Ciclo suena a ciclismo; ambiguo.
Parabolamates|42|Trece letras; parábola también es religión.
Pulsomates|50|Pulso no es de mates.
Exactomates|56|«Exacto» es el grito de acierto: buena emoción; algo largo.
Triplemates|54|Triple es deporte (baloncesto) y multiplicación: gracioso, pero once letras.
Docenamates|50|Docena es de huevos.
Resto10|46|«Resto» es lo que sobra: mala imagen.
Tiza10|62|Corto, visual, muy de cole; algo nostálgico y no dice logro.
Goma10|56|Corto y simpático (borrar y corregir), pero «goma» tiene otros sentidos.
Bien10|58|«Bien» es nota inferior a 10: contradicción como en Notable10; suena amable.
Alfamates|60|Alfa = el primero, y suena a marca; anglicismo científico aceptable.
Omegamates|54|Omega es el final: mensaje raro para aprender.
# ---- Pendientes que yo metería en mi top (para que salgan primero) ----
Sumaysigue|88|«Suma y sigue»: expresión española de seguir avanzando, con «suma» dentro. Sin 10 ni «mates», pero se entiende sola, es simpática y muy registrable (no describe el servicio). Mi favorito fuera de la familia «+10».
Cuentaconmigo|82|«Cuenta conmigo»: doble sentido contar/confiar, cálido, muy de acompañar al niño. Largo (13 letras) pero fluido.
Alcuadrado|80|«Al cuadrado»: aprender al cuadrado. Corto de decir, matemático y con humor; muy distintivo.
Mecuadra|78|«Me cuadra»: lo entiendo, encaja. Corto, muy español, con guiño matemático.
Lotengo|76|«Lo tengo»: el grito de haberlo pillado. Corto y emocional; no dice mates.
Yamesale|74|«Ya me sale»: la frase del niño cuando le sale. Cálido; no dice mates.
Mesale|74|«Me sale»: corto y emocional.
Sumate10|74|«Súmate al 10»: invitación + suma; la tilde se pierde sin problema.
Aprovecha10|74|Verbo positivo y muy cotidiano; cuatro sílabas.
Engancha10|74|«Engancha»: promete que la app engancha; algo de doble filo con padres.
Dameun10|72|«Dame un 10»: frase de niño, muy sonora; tres palabras pegadas.
Aplica10|72|Corto, verbo de método (aplícate); algo escolar.
Comienza10|72|Empezar con buen pie; cuatro sílabas.
Conoce10|72|Curiosidad; corto; algo neutro.
Fluye10|72|Corto, bonito, moderno (estado de flujo); se aleja de mates.
Intuye10|72|Intuición matemática; original.
Refuerza10|72|Refuerzo escolar: habla a los padres; algo de «clases de apoyo».
Alegra10|72|Emoción positiva; poco de mates.
Aprendemates|72|Verbo + mates: dice todo, pero doce letras y descriptivo.
Conseguido10|72|Grito de logro; largo.
Juegamates|70|Juego + mates, claro y alegre; descriptivo.
Emprende10|70|Ambición; suena a empresa.
Entusiasma10|70|Emoción; cinco sílabas.
Merece10|70|«Te lo mereces»; ambiguo.
Predice10|70|Matemático (predecir); frío.
Valora10|70|Doble sentido (valor numérico y valorar); neutro.
Persevera10|70|Mensaje de esfuerzo; largo.
Cultiva10|70|Crecimiento; bonito, poco de mates.
Cosecha10|70|Recoger frutos; bonito.
Resuelto10|70|Logro; suena a «problema resuelto».
Sumaun10|70|«Suma un 10»: suma + nota.
Sinresto|70|«Sin resto»: la división perfecta; muy original, hay que explicarlo.
Aciertamates|68|Acierto + mates; largo.
Piensamates|68|Pensar + mates; descriptivo.
Plantea10|68|Plantear problemas; escolar.
Visualiza10|68|Ver las mates; cinco sílabas.
Educa10|68|Habla a los padres, no al niño.
Hecho10|68|«Hecho»: corto y rotundo; ambiguo.
Pillado10|68|Jerga simpática («lo he pillado»).
Sacamates|66|Saca + mates; se lee raro.
Sumamates|66|Suma + mates; redundante.
Crecemates|66|Crece + mates; correcto, plano.
Numerouno|66|«Número uno»: ambición; muy usado en otras marcas.
Atiende10|66|Escolar (atiende en clase); suena a regañina.
Clavado10|66|«Clavado»: acertado; jerga.
Bordado10|66|«Bordado»: perfecto; jerga.
Dedica10|64|Dedicación; plano.
Ganamates|62|Ganar + mates; competitivo.
Brinda10|60|Brindar: celebración, pero alcohol.
# ---- Referencia ----
Mates10|90|REFERENCIA (la idea original, Paco pidió puntuarla sin el veto): con el criterio «el mensaje es mates» es el mejor nombre posible: siete letras, dice el producto entero (mates + nota de 10), se dice y se escribe solo, y el .com está libre. Ojo al usarlo: es descriptivo (difícil exclusividad en OEPM/EUIPO) y existe «PROFESOR 10 DE MATES» (clases 16 y 41, canal de 689.000 subs): iría con informe de marca previo y logo/lema muy propios.
# ---- Sugerencia: sinónimos de 10 × mates, marcas de India/EE. UU. traducidas ----
Matleta|85|Mathlete traducido: mates + atleta en tres sílabas. Distintivo, con carácter, dice mates, se escribe como suena y vende entrenamiento y logro. Ojo: Mathletics (3P Learning) es una marca fuerte en inglés; en español «matleta» se aleja lo bastante, pero conviene mirar TMview antes de registrar.
Maximates|84|Máximo + mates: la nota máxima con «mates» dentro, nueve letras, muy fácil de decir y el mensaje es mates. Lo mejor de tu sugerencia «sinónimos de 10 × mates».
Matenasio|78|Mathnasium traducido: mates + gimnasio, muy gráfico (entrenar mates) y dice mates. Mathnasium es una franquicia grande en EE. UU. con marca en la UE: riesgo de parecido, lo dejo por debajo de Matleta.
Plenomates|70|«Pleno» (todo acertado, como en la quiniela) + mates: corto y español; «pleno» también suena a ayuntamiento.
Matespleno|68|Mates + pleno: igual, con peor orden.
Perfectomates|62|Perfecto + mates: mensaje claro pero trece letras.
Prodigio10|70|Prodigy traducido: prodigio + 10, aspiracional; cuatro sílabas.
Prodigiomates|60|Prodigio + mates: largo.
Bestia10|66|«Eres una bestia» + 10: jerga muy española de admiración; a padres puede sonar bruto.
Bestiamates|58|Bestia + mates: gracioso, informal.
Matesbestia|56|Mates + bestia: se lee peor.
Reflejo10|62|Reflex Math traducido: reflejos rápidos; ambiguo (espejo).
Heroemates|60|Héroe + mates: infantil y positivo; la tilde se pierde.
Ganit10|52|«Ganit» es mates en hindi: exótico, pero en España nadie lo entiende.
Ganitmates|45|Ganit + mates: redundante para quien sepa hindi, opaco para el resto.
Shunya10|50|Shunya (cero en sánscrito): bonito de historia, imposible de explicar en un anuncio.
Matesvedicas|48|Mates védicas es un método concreto de cálculo mental indio: describe otro producto.
Equismates|58|Equis (X = 10 romano e incógnita) + mates: ingenioso, hay que explicarlo.
Diezsobrediez|64|«Diez sobre diez»: la nota perfecta en letras; largo, pero sin «mates» no choca con nadie.
Cumlaudemates|52|Cum laude + mates: universitario, largo.
Matescumlaude|50|Igual, peor orden.
Matriculamates|50|Matrícula (de honor) + mates: largo y «matrícula» suena a coche.
Sobresalientemates|40|Dieciocho letras.
Excelentemates|48|Largo; «excelente» es genérico.
Redondamates|50|Nota redonda + mates: se lee raro.
Numeritos10|58|Cariñoso, para pequeños; poco marca.
Cuentitas10|54|Igual, más flojo.
Numerosdediez|50|Frase larga.
Chapuzonmates|52|Splash Math traducido: divertido, largo.
Matesmolonas|54|Cool Math traducido: jerga que envejece.
Aceleramates|60|Acelera + mates: energía y velocidad; doce letras y no habla de entender.
Leemates|58|Lee + mates: corto y raro (leer mates), con gracia; poco intuitivo.
Vuelamates|62|Vuela + mates: alegre y visual (icono fácil); diez letras.
Piensadiez|66|Piensa + diez en letras: sonoro y muy español; sin el «10» pierde la marca visual de la familia.
Vertices10|56|Vértices + 10: geometría de secundaria; la tilde se pierde y la v/b confunde al escribirlo.
Vectores10|60|Vectores + 10: moderno, pero bachillerato y frío para un niño de 8.
Seriesmates|52|«Series» hoy es Netflix; confuso.
Patrones10|64|Patrones + 10: los patrones son la base de las mates de primaria y suenan modernos (pensamiento computacional); cuatro sílabas.
Acertijosmates|58|Acertijos + mates: dice juego y mates, pero trece letras.
Verticesmates|48|Vértices + mates: geometría de secundaria y muy largo.
Matricesmates|44|Matrices + mates: bachillerato, largo, y «matrices» asusta.
Infinitosmates|50|Infinitos + mates: bonito de idea, catorce letras.
Matesmatricula|52|Mates + matrícula (de honor): dice mates y nota máxima, pero «matrícula» suena a coche y son catorce letras.
# ---- Sugerencia: base 10 y cruces con marcas famosas ----
Matelingo|72|Mate + lingo: suena a Duolingo, y eso es justo lo bueno y lo malo: se entiende al instante como «el Duolingo de las mates», pero Duolingo es marca fuerte y «lingo» es su terminación; riesgo de que se lo tomen como parasitismo. Bonito, arriesgado.
Mati10|70|Mati (mascota, dos sílabas) + 10: corto, cariñoso, dice mates a medias y deja sitio a un personaje. Mi favorito de esta tanda.
Matigenio|64|Mati + genio: mascota con carácter; nueve letras.
Matidiez|62|Mati + diez en letras: sonoro, más marca que Mati10 pero pierde el «10» visual.
Matilandia|62|Mati + landia: mundo infantil, once letras.
Matimundo|60|Mati + mundo: correcto, plano.
Matilingo|60|Mati + lingo: mismo riesgo Duolingo que Matelingo, menos claro.
Lingo10|58|Lingo + 10: no dice mates y cuelga de Duolingo.
Matiprofe|58|Mati + profe: cercano, pero «profe» hace de la mascota un adulto.
Matesland|56|Mates + land: anglicismo suave, dice mates.
Matimates|56|Mati + mates: redundante.
Matesio|54|Mates + io: terminación de startup, fría.
Matiymates|50|«Mati y mates»: tres palabras pegadas, se lee mal.
Matiflix|45|Cuelga de Netflix: marca registrada muy defendida.
Matesfever|45|Anglicismo y «fever» suena a enfermedad.
Matesbuddy|45|Anglicismo puro.
Matimedley|42|«Medley» no lo entiende un padre español.
Matesmedley|40|Igual.
Medleymates|40|Igual.
Matestok|40|Cuelga de TikTok: marca registrada, riesgo alto.
Matestube|40|Cuelga de YouTube: riesgo alto.
Matesuber|35|Cuelga de Uber: marca registrada muy defendida.
Matesgle|30|Cuelga de Google: no.
Colemates|66|Dice cole y mates en dos sílabas cada uno: claro, cercano, fácil de decir en el patio; algo genérico como marca.
Tizamates|62|Concreto y visual (icono: una tiza), aliteración suave; la tiza suena a pizarra de ayer, menos a app.
Nubemates|50|Suena amable pero «nube» no dice mates ni cole; se lee como algo etéreo o de almacenamiento en la nube.
Matgenio|72|Blend corto que dice mates y genio: aspiracional para niños, sonoro, con carácter de marca (como Matleta).
Matcrack|70|«Crack» es elogio de patio muy español; el blend dice mates y suena a marca deportiva.
Matcampeon|68|Dice mates y campeón, ambición clara; algo largo (4 sílabas) para logo.
Calculadiez|68|Verbo de mates + diez en letras: el mensaje es cálculo, sin números en el dominio.
Cuentadiez|66|«Cuenta diez» es cálculo mental puro y suena a rima infantil; diez en letras se lee más blando que 10.
Matmago|64|Mates + magia, blend de dos sílabas; simpático pero puede leerse como «mago» sin mates.
Matreto|62|Corto y dice reto de mates; «mat» solo se entiende con contexto.
Matestiza|62|Como Tizamates pero en orden marca (Mates primero): concreto y visual.
Matesboli|60|Objeto de cole reconocible, orden marca; «boli» coloquial y cercano.
Midediez|58|Medir es mates, pero «mide diez» suena a talla o estatura.
Restadiez|56|Dice resta, pero la resta suena a quitar; menos positivo que suma o cuenta.
Valediez|48|«Vale diez» es elogio, pero no dice mates ni cole.
Dalediez|48|Ánimo genérico sin mates.
Vengadiez|44|Ánimo genérico sin mates.
Vamosdiez|46|Ánimo genérico sin mates.
Tanteadiez|50|Tantear es mates, pero es verbo poco infantil.
Boli10|56|Objeto de cole muy corto y visual, pero no dice mates.
Folio10|50|Objeto de cole neutro, no dice mates.
Silla10|42|Objeto sin relación con mates.
Patio10|52|Recreo y cole, pero no dice mates.
Timbre10|44|Objeto sin relación con mates.
Tablon10|44|Objeto sin relación con mates.
Rotu10|50|Coloquial y corto, pero no dice mates.
Semilla10|56|Metáfora de crecimiento bonita, pero no dice mates.
Brote10|52|Metáfora de crecimiento, no dice mates.
Bosque10|48|Naturaleza sin relación con mates.
Oceano10|48|Naturaleza sin relación con mates.
Volcan10|48|Naturaleza sin relación con mates.
Selva10|46|Naturaleza sin relación con mates.
Riomates|60|Naturaleza + mates; corto y sonoro, aunque «río» no aporta mensaje.
Matestotal|64|Mates primero y «total» como elogio infantil («eres total»); sonoro, aunque total también se lee como «todo incluido».
Matespeque|62|Dice mates y público (peques): claro y cariñoso; limita la marca a los más pequeños.
Matesclub10|70|Recoge tu «mates club» con el 10: dice mates, comunidad y nota soñada; algo largo pero claro.
Clubmates10|66|Como Matesclub10 en orden inverso; «club» delante suena a colegio o polideportivo.
Club10|58|Corto y memorable, pero no dice mates.
Clubdiez|56|Como Club10 en letras, sin mates.
Clubmatematico|60|Dice mates y club, pero largo (6 sílabas) y con tilde en el original.
Clubdelasmates|62|Muy natural en boca de un niño («el club de las mates»), largo para logo y dominio.
Clubdecalculo|58|Dice cálculo pero suena a academia de siempre.
Clubmatletas|64|Cruza tu Matleta con club: mates + atletas + comunidad; menos inmediato que Matleta.
Clubgenios|54|Aspiracional pero no dice mates.
Mathmates|66|Tu «math + mates»: dice mates dos veces (inglés y español), suena a marca internacional; el «th» en español se pronuncia mal («mazmates» o «matmates»).
Mathmates10|64|Igual con el 10: más mensaje, más largo.
Mathnates|40|Se lee como error de Mathmates; sin significado.
Matesmath|58|Orden inverso, menos natural.
Mathleta|60|Versión inglesa de Matleta; en España Matleta se entiende mejor.
Mathmatic|52|Suena a «matemático» en inglés sin decir mates en español; genérico.
Mathdiez|50|Mezcla rara de idiomas.
Clubsumas|64|«Club de sumas»: dice mates (sumas) y comunidad, corto y alegre, suena a taller extraescolar; limita el mensaje a sumar y «club» es genérico.
Clubdemates|64|«Club de mates» dice exactamente el producto y suena a comunidad; corto y fácil, pero es puramente descriptivo (difícil de registrar) y «club» ya lo usa medio mundo.
Clubgauss|58|Gauss da sello de mates serias y el .com suena a marca; los niños no saben quién es y a los padres les suena a física o a club de adultos; no dice mates a la primera.
Elclubmates|56|El artículo «el» sobra: se traba al decirlo y al escribir el dominio; por lo demás es Clubmates, que ya tiene el .com ocupado.
Matelista|68|«Mates» + «listo/lista» en una palabra: dice mates y promete listeza, corto, se escribe solo y suena a marca infantil con gracia.
Matenauta|66|Explorador de las mates: personaje, distintivo y registrable, se dice bien; el niño entiende «nauta» por astronauta. Menos directo que un verbo.
Sacaundiez|66|La frase más española del mundo («saca un diez») en una palabra; alegre y con logro; no dice mates y es algo larga para escribirla.
Retamates|64|Reto + mates: acción y asignatura, corto, suena a juego; «reta» puede leerse como verbo o como sustantivo, ambos valen.
Materetos|64|Retos de mates en una palabra: dice el producto (retos) y la asignatura; suena a colección de juegos.
Clavamates|62|«Clavar» es acertar de pleno en lenguaje de patio: fuerte, coloquial y con mates; a los padres puede sonar bruto.
Clavadiez|62|Clavar un diez: coloquial y con nota; no dice mates.
Diezredondo|62|Un diez redondo: expresión real, positiva y con guiño al número; larga y sin mates.
Matechispa|62|Mates con chispa: ingenio y alegría, se dice bien; el mensaje de mates va algo escondido en «mate».
Matecohete|62|Mates que despegan: imagen infantil clara y positiva, distintivo; algo largo.
Matesenjuego|62|Doble sentido («mates en juego»): dice mates y juego, muy claro; tres palabras pegadas, largo para dominio.
Mateguay|60|Mates + guay: muy de niño español, alegre y corto; «guay» envejece y es informal para padres.
Mateninja|60|Personaje que gusta a los niños, corto y sonoro; el «ninja» tira más que las mates y hay muchas apps ninja.
Matelogro|60|Logro + mates, positivo; «logro» es palabra de adulto y suena a informe.
Puro10|60|Corto y rotundo, suena a marca; no dice mates ni concreta el qué.
Enigmamates|60|Enigma + mates: misterio y asignatura; largo y «enigma» ya se usa mucho en escape rooms.
Aritmates|58|Aritmética + mates: muy de mates, pero difícil de escuchar y escribir a la primera.
Triunfadiez|58|Triunfar con un diez: positivo; largo y sin mates.
Matesconchispa|58|Mates con chispa: dice mates y alegría; tres palabras, largo.
Premiomates|56|Premio + mates: recompensa clara; genérico y el orden suena forzado.
Matesdeverdad|56|Promesa de seriedad («mates de verdad»); frase larga y suena a método académico.
Salto10|54|Salto de nota, corto; genérico y sin mates.
Olimpico10|52|Olimpiadas de mates es referencia real; «olímpico» es largo y sin mates.
Plusmarca10|52|Récord personal en castellano; palabra rara para niños y sin mates.
Titulo10|50|Título de campeón; se confunde con «título académico» y no dice mates.
Buhodiez|56|Mascota infantil + diez: simpático y fácil, pero no dice mates y el animal manda sobre el mensaje; vale como personaje, no como marca del producto.
